1
1 2112 0 0  9.86307e-02 -1.04805e-01 -1.67515e-01 0.939566 0 -2.24944e+03 -3.70306e+03  9.34131e+03 0 0 0 
1
1 2112 0 0 -6.78642e-02  3.07412e-02 -6.49148e-02 0.939566 0  1.87261e+03  6.31579e+03  8.29679e+03 0 0 0 
4
1 2112 0 0 -3.37269e-01  3.13182e-02  3.90179e-02 0.939566 0 -8.08068e+03  2.87548e+03  9.28395e+03 0 0 0 
1 2112 0 0  1.98291e-02 -3.54142e-03  2.75540e-02 0.939566 0 -8.08068e+03  2.87548e+03  9.28395e+03 0 0 0 
1 2112 0 0  1.04681e-02 -7.43969e-03  8.81379e-03 0.939566 0 -8.08068e+03  2.87548e+03  9.28395e+03 0 0 0 
1 2112 0 0 -1.63079e-02 -1.67488e-01 -3.96454e-01 0.939566 0 -8.06088e+03  2.87229e+03  9.25242e+03 0 0 0 
1
1 2112 0 0  2.13707e-01 -7.06751e-02  2.32884e-01 0.939566 0 -9.89375e+02 -6.79000e+03  9.87765e+03 0 0 0 
5
1 2112 0 0 -1.11789e-01 -3.76582e-01 -3.86246e-01 0.939566 0 -3.89032e+03  7.98409e+03  9.63613e+03 0 0 0 
1 2112 0 0 -4.62138e-02 -1.79709e-02  3.21187e-03 0.939566 0 -3.42244e+03  7.98360e+03  9.15717e+03 0 0 0 
1 2112 0 0  1.27283e-01 -2.13654e-01  1.18547e-02 0.939566 0 -2.67788e+03  7.58505e+03  8.19375e+03 0 0 0 
1 2112 0 0 -1.93819e-02 -7.84234e-02 -6.30369e-02 0.939566 0 -2.67788e+03  7.58505e+03  8.19375e+03 0 0 0 
1 2112 0 0  5.32648e-02 -1.00990e-01 -1.16183e-01 0.939566 0 -2.63879e+03  7.62999e+03  8.04602e+03 0 0 0 
1
1 2112 0 0 -7.48201e-02  4.88401e-02 -1.15008e-01 0.939566 0  3.02089e+03  4.50574e+03  9.85790e+03 0 0 0 
1
